Learning Rate,Bias,Epoch,x1,x2,Yd,w1 inicial,w2 inicial,Y,Error,w1 final,w2 final
0.01,1.0,4,1,0,0,0.46084,0.54314,1,-1,0.45084,0.54314
0.01,1.0,4,1,1,1,0.45084,0.54314,1,0,0.45084,0.54314
0.01,1.0,5,0,0,0,0.45084,0.54314,1,-1,0.45084,0.54314
0.01,1.0,5,0,1,0,0.45084,0.54314,1,-1,0.45084,0.53314
0.01,1.0,5,1,0,0,0.45084,0.53314,1,-1,0.44084,0.53314
0.01,1.0,5,1,1,1,0.44084,0.53314,1,0,0.44084,0.53314
0.01,1.0,6,0,0,0,0.44084,0.53314,1,-1,0.44084,0.53314
0.01,1.0,6,0,1,0,0.44084,0.53314,1,-1,0.44084,0.52314
0.01,1.0,6,1,0,0,0.44084,0.52314,1,-1,0.43084,0.52314
0.01,1.0,6,1,1,1,0.43084,0.52314,1,0,0.43084,0.52314
0.01,1.0,7,0,0,0,0.43084,0.52314,1,-1,0.43084,0.52314
0.01,1.0,7,0,1,0,0.43084,0.52314,1,-1,0.43084,0.51314
0.01,1.0,7,1,0,0,0.43084,0.51314,1,-1,0.42084,0.51314
0.01,1.0,7,1,1,1,0.42084,0.51314,1,0,0.42084,0.51314
0.01,1.0,8,0,0,0,0.42084,0.51314,1,-1,0.42084,0.51314
0.01,1.0,8,0,1,0,0.42084,0.51314,1,-1,0.42084,0.50314
0.01,1.0,8,1,0,0,0.42084,0.50314,1,-1,0.41084,0.50314
0.01,1.0,8,1,1,1,0.41084,0.50314,1,0,0.41084,0.50314
0.01,1.0,9,0,0,0,0.41084,0.50314,1,-1,0.41084,0.50314
0.01,1.0,9,0,1,0,0.41084,0.50314,1,-1,0.41084,0.49314
0.01,1.0,9,1,0,0,0.41084,0.49314,1,-1,0.40084,0.49314
0.01,1.0,9,1,1,1,0.40084,0.49314,1,0,0.40084,0.49314
0.01,1.0,10,0,0,0,0.40084,0.49314,1,-1,0.40084,0.49314
0.01,1.0,10,0,1,0,0.40084,0.49314,1,-1,0.40084,0.48314
0.01,1.0,10,1,0,0,0.40084,0.48314,1,-1,0.39084,0.48314
0.01,1.0,10,1,1,1,0.39084,0.48314,1,0,0.39084,0.48314
0.01,1.0,11,0,0,0,0.39084,0.48314,1,-1,0.39084,0.48314
0.01,1.0,11,0,1,0,0.39084,0.48314,1,-1,0.39084,0.47314
0.01,1.0,11,1,0,0,0.39084,0.47314,1,-1,0.38084,0.47314
0.01,1.0,11,1,1,1,0.38084,0.47314,1,0,0.38084,0.47314
0.01,1.0,12,0,0,0,0.38084,0.47314,1,-1,0.38084,0.47314
0.01,1.0,12,0,1,0,0.38084,0.47314,1,-1,0.38084,0.46314
0.01,1.0,12,1,0,0,0.38084,0.46314,1,-1,0.37084,0.46314
0.01,1.0,12,1,1,1,0.37084,0.46314,1,0,0.37084,0.46314
0.01,1.0,13,0,0,0,0.37084,0.46314,1,-1,0.37084,0.46314
0.01,1.0,13,0,1,0,0.37084,0.46314,1,-1,0.37084,0.45314
0.01,1.0,13,1,0,0,0.37084,0.45314,1,-1,0.36084,0.45314
0.01,1.0,13,1,1,1,0.36084,0.45314,1,0,0.36084,0.45314
0.01,1.0,14,0,0,0,0.36084,0.45314,1,-1,0.36084,0.45314
0.01,1.0,14,0,1,0,0.36084,0.45314,1,-1,0.36084,0.44314
0.01,1.0,14,1,0,0,0.36084,0.44314,1,-1,0.35084,0.44314
0.01,1.0,14,1,1,1,0.35084,0.44314,1,0,0.35084,0.44314
0.01,1.0,15,0,0,0,0.35084,0.44314,1,-1,0.35084,0.44314
0.01,1.0,15,0,1,0,0.35084,0.44314,1,-1,0.35084,0.43314
0.01,1.0,15,1,0,0,0.35084,0.43314,1,-1,0.34084,0.43314
0.01,1.0,15,1,1,1,0.34084,0.43314,1,0,0.34084,0.43314
0.01,1.0,16,0,0,0,0.34084,0.43314,1,-1,0.34084,0.43314
0.01,1.0,16,0,1,0,0.34084,0.43314,1,-1,0.34084,0.42314
0.01,1.0,16,1,0,0,0.34084,0.42314,1,-1,0.33084,0.42314
0.01,1.0,16,1,1,1,0.33084,0.42314,1,0,0.33084,0.42314
0.01,1.0,17,0,0,0,0.33084,0.42314,1,-1,0.33084,0.42314
0.01,1.0,17,0,1,0,0.33084,0.42314,1,-1,0.33084,0.41314
0.01,1.0,17,1,0,0,0.33084,0.41314,1,-1,0.32084,0.41314
0.01,1.0,17,1,1,1,0.32084,0.41314,1,0,0.32084,0.41314
0.01,1.0,18,0,0,0,0.32084,0.41314,1,-1,0.32084,0.41314
0.01,1.0,18,0,1,0,0.32084,0.41314,1,-1,0.32084,0.40314
0.01,1.0,18,1,0,0,0.32084,0.40314,1,-1,0.31084,0.40314
0.01,1.0,18,1,1,1,0.31084,0.40314,1,0,0.31084,0.40314
0.01,1.0,19,0,0,0,0.31084,0.40314,1,-1,0.31084,0.40314
0.01,1.0,19,0,1,0,0.31084,0.40314,1,-1,0.31084,0.39314
0.01,1.0,19,1,0,0,0.31084,0.39314,1,-1,0.30084,0.39314
0.01,1.0,19,1,1,1,0.30084,0.39314,1,0,0.30084,0.39314
0.01,1.0,20,0,0,0,0.30084,0.39314,1,-1,0.30084,0.39314
0.01,1.0,20,0,1,0,0.30084,0.39314,1,-1,0.30084,0.38314
